date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:12:59	193/193	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Thu,%2002%20Nov%202017%2021:12:58%20GMT	http://cdn.jsdelivr.net/jquery.slick/1.6.0/slick.min.js	/home/broly/websites/pagina_viajero/cdn.jsdelivr.net/jquery.slick/1.6.0/slick.min.js	(from https://domicilio.campero.com/)
15:13:02	362/362	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2002%20Nov%202017%2021:12:58%20GMT	https://domicilio.campero.com/Content/img/gif-de-swipe-1.gif	/home/broly/websites/pagina_viajero/domicilio.campero.com/Content/img/gif-de-swipe-1.gif	(from https://domicilio.campero.com/)
15:13:02	362/362	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2002%20Nov%202017%2021:12:58%20GMT	https://domicilio.campero.com/Content/img/logobottom.png	/home/broly/websites/pagina_viajero/domicilio.campero.com/Content/img/logobottom.png	(from https://domicilio.campero.com/)
15:13:02	351/351	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Thu,%2002%20Nov%202017%2021:12:58%20GMT	http://s3.amazonaws.com/ki.js/66665/fDN.js	/home/broly/websites/pagina_viajero/s3.amazonaws.com/ki.js/66665/fDN.js	(from https://domicilio.campero.com/)
15:13:02	447050/447050	---M--	200	added ('OK')	image/svg+xml	etag:%2287e29b8f9351d31:0%22	https://domicilio.campero.com/Content/fonts/fontawesome-webfont.svg?v=4.7.0	/home/broly/websites/pagina_viajero/domicilio.campero.com/Content/fonts/fontawesome-webfont3e6e.svg	(from https://domicilio.campero.com/Content/camperocss?v=4Yc2nL785nnts0gSCD8IR8lrTCi7rRCUg7x9ShiJBv41)
15:13:03	362/362	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2002%20Nov%202017%2021:13:00%20GMT	https://domicilio.campero.com/Content/img/almuerzo_03.jpg	/home/broly/websites/pagina_viajero/domicilio.campero.com/Content/img/almuerzo_03.jpg	(from https://domicilio.campero.com/)
15:13:03	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Nov%202017%2021:13:00%20GMT	https://domicilio.campero.com/Content/pattern.png	/home/broly/websites/pagina_viajero/domicilio.campero.com/Content/pattern.45.delayed	(from https://domicilio.campero.com/Content/stick-to-me.css)
15:13:03	362/362	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2002%20Nov%202017%2021:13:00%20GMT	https://domicilio.campero.com/Content/img/almuerzo_04.jpg	/home/broly/websites/pagina_viajero/domicilio.campero.com/Content/img/almuerzo_04.jpg	(from https://domicilio.campero.com/)
15:13:05	141847/141847	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Nov%202017%2021:13:00%20GMT	https://domicilio.campero.com/?cat=0	/home/broly/websites/pagina_viajero/domicilio.campero.com/indexbb04.html	(from https://domicilio.campero.com/)
15:13:07	127282/127282	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Nov%202017%2021:13:03%20GMT	https://domicilio.campero.com/?cat=5	/home/broly/websites/pagina_viajero/domicilio.campero.com/indexb946.html	(from https://domicilio.campero.com/)
15:13:09	134675/134675	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Nov%202017%2021:13:05%20GMT	https://domicilio.campero.com/?cat=1	/home/broly/websites/pagina_viajero/domicilio.campero.com/indexb31a.html	(from https://domicilio.campero.com/)
15:13:11	127252/127252	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Nov%202017%2021:13:07%20GMT	https://domicilio.campero.com/?cat=2	/home/broly/websites/pagina_viajero/domicilio.campero.com/index3f7b.html	(from https://domicilio.campero.com/)
